order_id,order_date,customer_id,product_id,product_name,product_cost,quantity,selling_price,total_cost,total_sale,total_profit,campaign_id,order_month
O00001,2025-07-14,C1132,P013,Running Shoes,139.5,4,249.72,558.0,998.88,440.88,M01,2025-07
O00002,2025-12-26,C0170,P006,Leave-In Hair Mist,529.14,4,897.09,2116.56,3588.36,1471.8,Organic,2025-12
O00003,2025-11-27,C0679,P026,Tracksuit,581.63,5,851.7,2908.15,4258.5,1350.35,Organic,2025-11
O00004,2025-02-18,C1082,P029,Tennis Outfit,1047.18,1,1805.86,1047.18,1805.86,758.68,M08,2025-02
O00005,2025-05-19,C0153,P002,SPF 50 Sunscreen,190.04,3,365.12,570.12,1095.36,525.24,Organic,2025-05
O00006,2025-10-16,C0068,P022,Volumizing Spray,292.18,2,517.27,584.36,1034.54,450.18,Organic,2025-10
O00007,2025-06-11,C0425,P001,Pre-Workout Formula,81.87,5,147.52,409.35,737.6,328.25,M07,2025-06
O00008,2025-02-09,C0333,P010,Plant-Based Protein,143.45,5,276.22,717.25,1381.1,663.85,M07,2025-02
O00009,2025-12-13,C1108,P029,Tennis Outfit,1047.18,3,1805.86,3141.54,5417.58,2276.04,M03,2025-12
O00010,2025-12-19,C0161,P024,Resistance Bands,442.52,5,862.21,2212.6,4311.05,2098.45,Organic,2025-12
O00011,2025-06-27,C0201,P002,SPF 50 Sunscreen,190.04,4,365.12,760.16,1460.48,700.32,M02,2025-06
O00012,2025-06-24,C0813,P020,Pre-Workout Formula,671.71,3,1257.35,2015.13,3772.05,1756.92,M05,2025-06
O00013,2025-08-19,C0468,P016,SPF 50 Sunscreen,1093.54,3,1568.83,3280.62,4706.49,1425.87,M07,2025-08
O00014,2025-08-10,C1200,P006,Leave-In Hair Mist,529.14,4,897.09,2116.56,3588.36,1471.8,M05,2025-08
O00015,2025-05-07,C0151,P023,Daily Multivitamin,271.03,1,535.19,271.03,535.19,264.16,M07,2025-05
O00016,2025-12-31,C0316,P026,Tracksuit,581.63,4,851.7,2326.52,3406.8,1080.28,M02,2025-12
O00017,2025-02-16,C0632,P001,Pre-Workout Formula,81.87,4,147.52,327.48,590.08,262.6,M05,2025-02
O00018,2025-02-22,C0179,P005,Hair Growth Oil,81.19,2,150.42,162.38,300.84,138.46,M07,2025-02
O00019,2025-02-22,C0184,P001,Pre-Workout Formula,81.87,3,147.52,245.61,442.56,196.95,M06,2025-02
O00020,2025-07-17,C0598,P001,Pre-Workout Formula,81.87,4,147.52,327.48,590.08,262.6,M02,2025-07
O00021,2025-10-14,C0498,P029,Tennis Outfit,1047.18,5,1805.86,5235.9,9029.3,3793.4,M07,2025-10
O00022,2025-03-28,C0551,P005,Hair Growth Oil,81.19,3,150.42,243.57,451.26,207.69,M03,2025-03
O00023,2025-02-02,C0891,P006,Leave-In Hair Mist,529.14,3,897.09,1587.42,2691.27,1103.85,M08,2025-02
O00024,2025-02-09,C0516,P012,Athliesure Wear,777.17,2,1118.83,1554.34,2237.66,683.32,Organic,2025-02
O00025,2025-09-11,C0401,P020,Pre-Workout Formula,671.71,4,1257.35,2686.84,5029.4,2342.56,M05,2025-09
O00026,2025-01-04,C0681,P013,Running Shoes,139.5,5,249.72,697.5,1248.6,551.1,M06,2025-01
O00027,2025-08-14,C0882,P011,Pull-up Set,824.85,5,1247.08,4124.25,6235.4,2111.15,M06,2025-08
O00028,2025-11-05,C0412,P023,Daily Multivitamin,271.03,4,535.19,1084.12,2140.76,1056.64,M07,2025-11
O00029,2025-06-13,C1006,P010,Plant-Based Protein,143.45,5,276.22,717.25,1381.1,663.85,Organic,2025-06
O00030,2025-06-16,C0575,P013,Running Shoes,139.5,4,249.72,558.0,998.88,440.88,M04,2025-06
O00031,2025-10-31,C0369,P018,Weight-Lifting Shoes,749.33,5,1307.8,3746.65,6539.0,2792.35,M08,2025-10
O00032,2025-12-29,C0898,P007,Benchpress Bench and Bar,821.09,3,1637.92,2463.27,4913.76,2450.49,Organic,2025-12
O00033,2025-02-05,C0838,P027,Sweatband,196.1,4,371.46,784.4,1485.84,701.44,M05,2025-02
O00034,2025-05-04,C0316,P009,SPF 50 Sunscreen,332.29,4,509.1,1329.16,2036.4,707.24,Organic,2025-05
O00035,2025-02-07,C0982,P015,Anti-Aging Night Cream,732.53,5,1438.69,3662.65,7193.45,3530.8,M07,2025-02
O00036,2025-10-06,C0737,P002,SPF 50 Sunscreen,190.04,5,365.12,950.2,1825.6,875.4,M02,2025-10
O00037,2025-02-25,C0509,P025,Scalp Detox Scrub,993.64,3,1765.1,2980.92,5295.3,2314.38,M01,2025-02
O00038,2025-10-16,C0819,P021,Exfoliating Scrub,236.38,3,410.46,709.14,1231.38,522.24,Organic,2025-10
O00039,2025-08-09,C0022,P004,Daily Multivitamin,151.95,1,278.02,151.95,278.02,126.07,M04,2025-08
O00040,2025-08-17,C0802,P012,Athliesure Wear,777.17,4,1118.83,3108.68,4475.32,1366.64,Organic,2025-08
O00041,2025-10-29,C1025,P023,Daily Multivitamin,271.03,2,535.19,542.06,1070.38,528.32,M01,2025-10
O00042,2025-09-05,C0606,P004,Daily Multivitamin,151.95,4,278.02,607.8,1112.08,504.28,Organic,2025-09
O00043,2025-02-13,C0291,P004,Daily Multivitamin,151.95,3,278.02,455.85,834.06,378.21,M08,2025-02
O00044,2025-04-16,C0990,P017,Gentle Facial Cleanser,1005.92,3,1746.32,3017.76,5238.96,2221.2,M08,2025-04
O00045,2025-12-23,C0654,P015,Anti-Aging Night Cream,732.53,1,1438.69,732.53,1438.69,706.16,M02,2025-12
O00046,2025-01-12,C0703,P028,Hair Growth Oil,729.97,1,1124.06,729.97,1124.06,394.09,Organic,2025-01
O00047,2025-03-26,C0500,P030,Vitamin C Serum,1052.65,5,1994.92,5263.25,9974.6,4711.35,M03,2025-03
O00048,2025-06-19,C0874,P018,Weight-Lifting Shoes,749.33,4,1307.8,2997.32,5231.2,2233.88,M07,2025-06
O00049,2025-11-19,C0382,P006,Leave-In Hair Mist,529.14,4,897.09,2116.56,3588.36,1471.8,M04,2025-11
O00050,2025-08-19,C0880,P019,Grip Strength Tool,491.38,4,775.01,1965.52,3100.04,1134.52,M04,2025-08
O00051,2025-04-16,C0129,P009,SPF 50 Sunscreen,332.29,5,509.1,1661.45,2545.5,884.05,M03,2025-04
O00052,2025-07-07,C0404,P011,Pull-up Set,824.85,4,1247.08,3299.4,4988.32,1688.92,M08,2025-07
O00053,2025-09-28,C0642,P021,Exfoliating Scrub,236.38,5,410.46,1181.9,2052.3,870.4,M07,2025-09
O00054,2025-10-28,C0713,P004,Daily Multivitamin,151.95,3,278.02,455.85,834.06,378.21,Organic,2025-10
O00055,2025-11-13,C0610,P006,Leave-In Hair Mist,529.14,5,897.09,2645.7,4485.45,1839.75,M03,2025-11
O00056,2025-06-10,C0489,P004,Daily Multivitamin,151.95,3,278.02,455.85,834.06,378.21,M06,2025-06
O00057,2025-12-22,C1047,P005,Hair Growth Oil,81.19,4,150.42,324.76,601.68,276.92,M03,2025-12
O00058,2025-10-22,C0867,P013,Running Shoes,139.5,2,249.72,279.0,499.44,220.44,M03,2025-10
O00059,2025-10-12,C1003,P006,Leave-In Hair Mist,529.14,3,897.09,1587.42,2691.27,1103.85,M06,2025-10
O00060,2025-08-19,C0110,P020,Pre-Workout Formula,671.71,3,1257.35,2015.13,3772.05,1756.92,Organic,2025-08
O00061,2025-09-06,C0400,P005,Hair Growth Oil,81.19,4,150.42,324.76,601.68,276.92,Organic,2025-09
O00062,2025-09-16,C1014,P021,Exfoliating Scrub,236.38,4,410.46,945.52,1641.84,696.32,Organic,2025-09
O00063,2025-08-01,C0910,P023,Daily Multivitamin,271.03,4,535.19,1084.12,2140.76,1056.64,M01,2025-08
O00064,2025-04-23,C0067,P010,Plant-Based Protein,143.45,3,276.22,430.35,828.66,398.31,M05,2025-04
O00065,2025-03-28,C0937,P025,Scalp Detox Scrub,993.64,5,1765.1,4968.2,8825.5,3857.3,Organic,2025-03
O00066,2025-09-11,C1047,P018,Weight-Lifting Shoes,749.33,1,1307.8,749.33,1307.8,558.47,M05,2025-09
O00067,2025-10-06,C0752,P027,Sweatband,196.1,5,371.46,980.5,1857.3,876.8,Organic,2025-10
O00068,2025-01-22,C0904,P025,Scalp Detox Scrub,993.64,5,1765.1,4968.2,8825.5,3857.3,M07,2025-01
O00069,2025-02-22,C0507,P024,Resistance Bands,442.52,3,862.21,1327.56,2586.63,1259.07,Organic,2025-02
O00070,2025-01-17,C0539,P015,Anti-Aging Night Cream,732.53,3,1438.69,2197.59,4316.07,2118.48,Organic,2025-01
O00071,2025-02-14,C0241,P015,Anti-Aging Night Cream,732.53,2,1438.69,1465.06,2877.38,1412.32,M06,2025-02
O00072,2025-12-30,C0877,P020,Pre-Workout Formula,671.71,2,1257.35,1343.42,2514.7,1171.28,Organic,2025-12
O00073,2025-04-16,C0424,P027,Sweatband,196.1,1,371.46,196.1,371.46,175.36,M05,2025-04
O00074,2025-11-02,C0345,P018,Weight-Lifting Shoes,749.33,3,1307.8,2247.99,3923.4,1675.41,Organic,2025-11
O00075,2025-05-30,C1173,P010,Plant-Based Protein,143.45,3,276.22,430.35,828.66,398.31,Organic,2025-05
O00076,2025-09-21,C0196,P029,Tennis Outfit,1047.18,2,1805.86,2094.36,3611.72,1517.36,Organic,2025-09
O00077,2025-07-30,C0122,P030,Vitamin C Serum,1052.65,3,1994.92,3157.95,5984.76,2826.81,Organic,2025-07
O00078,2025-03-06,C0272,P023,Daily Multivitamin,271.03,2,535.19,542.06,1070.38,528.32,M06,2025-03
O00079,2025-05-07,C0805,P025,Scalp Detox Scrub,993.64,4,1765.1,3974.56,7060.4,3085.84,M05,2025-05
O00080,2025-11-18,C0769,P014,Argan Oil Shampoo,1020.09,4,1782.36,4080.36,7129.44,3049.08,M02,2025-11
O00081,2025-07-26,C0570,P017,Gentle Facial Cleanser,1005.92,3,1746.32,3017.76,5238.96,2221.2,M08,2025-07
O00082,2025-06-17,C0006,P019,Grip Strength Tool,491.38,1,775.01,491.38,775.01,283.63,Organic,2025-06
O00083,2025-08-23,C0734,P021,Exfoliating Scrub,236.38,1,410.46,236.38,410.46,174.08,Organic,2025-08
O00084,2025-07-23,C0880,P007,Benchpress Bench and Bar,821.09,2,1637.92,1642.18,3275.84,1633.66,M06,2025-07
O00085,2025-05-26,C1121,P011,Pull-up Set,824.85,5,1247.08,4124.25,6235.4,2111.15,M08,2025-05
O00086,2025-06-25,C0100,P029,Tennis Outfit,1047.18,1,1805.86,1047.18,1805.86,758.68,M08,2025-06
O00087,2025-01-09,C0324,P004,Daily Multivitamin,151.95,4,278.02,607.8,1112.08,504.28,M07,2025-01
O00088,2025-04-14,C0271,P023,Daily Multivitamin,271.03,3,535.19,813.09,1605.57,792.48,M05,2025-04
O00089,2025-02-17,C0739,P021,Exfoliating Scrub,236.38,3,410.46,709.14,1231.38,522.24,M03,2025-02
O00090,2025-01-27,C0626,P013,Running Shoes,139.5,2,249.72,279.0,499.44,220.44,M02,2025-01
O00091,2025-12-27,C0003,P004,Daily Multivitamin,151.95,2,278.02,303.9,556.04,252.14,M03,2025-12
O00092,2025-10-31,C1064,P008,Exfoliating Scrub,810.3,4,1426.46,3241.2,5705.84,2464.64,M06,2025-10
O00093,2025-03-03,C0865,P028,Hair Growth Oil,729.97,2,1124.06,1459.94,2248.12,788.18,M04,2025-03
O00094,2025-07-16,C0210,P003,Anti-Frizz Serum,154.97,1,265.18,154.97,265.18,110.21,M05,2025-07
O00095,2025-03-12,C0273,P013,Running Shoes,139.5,2,249.72,279.0,499.44,220.44,M01,2025-03
O00096,2025-11-09,C0337,P021,Exfoliating Scrub,236.38,4,410.46,945.52,1641.84,696.32,M04,2025-11
O00097,2025-11-18,C0311,P024,Resistance Bands,442.52,4,862.21,1770.08,3448.84,1678.76,Organic,2025-11
