order_id,order_date,customer_id,product_id,quantity,unit_price,campaign_id
O00001,2025-07-14,C1132,P013,4,249.72,M01
O00002,2025-12-26,C0170,P006,4,897.09,
O00003,2025-11-27,C0679,P026,5,851.7,
O00004,2025-02-18,C1082,P029,1,1805.86,M08
O00005,2025-05-19,C0153,P002,3,365.12,
O00006,2025-10-16,C0068,P022,2,517.27,
O00007,2025-06-11,C0425,P001,5,147.52,M07
O00008,2025-02-09,C0333,P010,5,276.22,M07
O00009,2025-12-13,C1108,P029,3,1805.86,M03
O00010,2025-12-19,C0161,P024,5,862.21,
O00011,2025-06-27,C0201,P002,4,365.12,M02
O00012,2025-06-24,C0813,P020,3,1257.35,M05
O00013,2025-08-19,C0468,P016,3,1568.83,M07
O00014,2025-08-10,C1200,P006,4,897.09,M05
O00015,2025-05-07,C0151,P023,1,535.19,M07
O00016,2025-12-31,C0316,P026,4,851.7,M02
O00017,2025-02-16,C0632,P001,4,147.52,M05
O00018,2025-02-22,C0179,P005,2,150.42,M07
O00019,2025-02-22,C0184,P001,3,147.52,M06
O00020,2025-07-17,C0598,P001,4,147.52,M02
O00021,2025-10-14,C0498,P029,5,1805.86,M07
O00022,2025-03-28,C0551,P005,3,150.42,M03
O00023,2025-02-02,C0891,P006,3,897.09,M08
O00024,2025-02-09,C0516,P012,2,1118.83,
O00025,2025-09-11,C0401,P020,4,1257.35,M05
O00026,2025-01-04,C0681,P013,5,249.72,M06
O00027,2025-08-14,C0882,P011,5,1247.08,M06
O00028,2025-11-05,C0412,P023,4,535.19,M07
O00029,2025-06-13,C1006,P010,5,276.22,
O00030,2025-06-16,C0575,P013,4,249.72,M04
O00031,2025-10-31,C0369,P018,5,1307.8,M08
O00032,2025-12-29,C0898,P007,3,1637.92,
O00033,2025-02-05,C0838,P027,4,371.46,M05
O00034,2025-05-04,C0316,P009,4,509.1,
O00035,2025-02-07,C0982,P015,5,1438.69,M07
O00036,2025-10-06,C0737,P002,5,365.12,M02
O00037,2025-02-25,C0509,P025,3,1765.1,M01
O00038,2025-10-16,C0819,P021,3,410.46,
O00039,2025-08-09,C0022,P004,1,278.02,M04
O00040,2025-08-17,C0802,P012,4,1118.83,
O00041,2025-10-29,C1025,P023,2,535.19,M01
O00042,2025-09-05,C0606,P004,4,278.02,
